date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-06,6.69,6.73,6.7,6.66,735846.81,0.0,0.0,6.788,6.79,6.651,942837.29,1083554.44,907755.77
2018-09-07,6.68,6.77,6.68,6.65,744694.31,-0.02,-0.3,6.756,6.795,6.653,842721.17,1092778.94,902601.04
2018-09-10,6.68,6.76,6.72,6.67,850084.38,0.04,0.6,6.738,6.785,6.66,869874.41,985524.06,903294.29
2018-09-11,6.72,6.81,6.78,6.66,1053768.12,0.06,0.89,6.716,6.778,6.667,864436.44,935761.69,921882.53
2018-09-12,6.66,6.76,6.65,6.57,1048496.12,0.03,0.45,6.706,6.757,6.676,886577.95,914993.5,929554.06
2018-09-13,6.71,6.86,6.83,6.68,1572563.75,0.18,2.71,6.732,6.76,6.697,1053921.34,998379.31,972260.77
2018-09-14,6.8,6.81,6.77,6.73,714520.75,-0.06,-0.88,6.75,6.753,6.719,1047886.62,945303.9,978969.43
2018-09-17,6.76,6.76,6.71,6.65,654033.5,-0.06,-0.89,6.748,6.743,6.731,1008676.45,939275.43,977504.47
2018-09-18,6.69,6.81,6.81,6.66,1009148.44,0.1,1.49,6.754,6.735,6.748,999752.51,932094.47,995523.12
2018-09-19,6.8,6.96,6.93,6.78,1318615.0,0.12,1.76,6.81,6.758,6.768,1053776.29,970177.12,1028065.82
2018-09-20,6.93,6.97,6.89,6.85,825259.12,-0.04,-0.58,6.822,6.777,6.784,904315.36,979118.35,1031336.39
2018-09-21,6.89,6.95,6.95,6.78,1259250.38,0.06,0.87,6.858,6.804,6.8,1013261.29,1030573.96,1061676.45
2018-09-25,6.94,7.03,6.88,6.84,1089187.88,-0.07,-1.01,6.892,6.82,6.803,1100292.16,1054484.31,1020004.18
2018-09-26,6.89,7.12,7.07,6.88,2264931.25,0.19,2.76,6.944,6.849,6.814,1351448.73,1175600.62,1055681.15
2018-09-27,7.05,7.09,7.04,7.0,1213768.12,-0.03,-0.42,6.966,6.888,6.823,1330479.35,1192127.82,1053560.66
2018-09-28,7.06,7.14,7.12,7.01,1010707.81,0.08,1.14,7.012,6.917,6.839,1367569.09,1135942.23,1067160.77
2018-10-08,6.9,6.92,6.62,6.58,3248579.0,-0.5,-7.02,6.946,6.902,6.828,1765434.81,1389348.05,1167325.97
2018-10-09,6.62,6.77,6.66,6.54,1996790.0,0.04,0.6,6.902,6.897,6.82,1946955.24,1523623.7,1231449.57
2018-10-10,6.67,6.77,6.67,6.61,1051268.0,0.01,0.15,6.822,6.883,6.809,1704222.59,1527835.66,1229965.07
2018-10-11,6.47,6.51,6.4,6.32,1896375.0,-0.27,-4.05,6.694,6.83,6.794,1840743.96,1585611.66,1277894.39
2018-10-12,6.35,6.55,6.52,6.35,1346314.5,0.12,1.88,6.574,6.793,6.785,1907865.3,1637717.19,1308417.77
2018-10-15,6.52,6.57,6.48,6.45,878932.19,-0.04,-0.61,6.546,6.746,6.775,1433935.94,1599685.38,1315129.67
2018-10-16,6.49,6.7,6.55,6.49,1137358.38,0.07,1.08,6.524,6.713,6.767,1262049.61,1604502.43,1329493.37
2018-10-17,6.63,6.63,6.47,6.39,1734758.38,-0.08,-1.22,6.484,6.653,6.751,1398747.69,1551485.14,1363542.88
2018-10-18,6.37,6.42,6.21,6.19,1412640.5,-0.26,-4.02,6.446,6.57,6.729,1302000.79,1571372.38,1381750.1
2018-10-19,6.13,6.35,6.31,6.02,1368347.25,0.1,1.61,6.404,6.489,6.703,1306407.34,1607136.32,1371539.27
2018-10-22,6.33,6.57,6.46,6.29,2211405.25,0.15,2.38,6.4,6.473,6.688,1572901.95,1503418.95,1446383.5
2018-10-23,6.43,6.47,6.25,6.22,1199323.25,-0.21,-3.25,6.34,6.432,6.665,1585294.93,1423672.27,1473647.99
2018-10-24,6.12,6.29,6.19,6.03,1627727.5,-0.06,-0.96,6.284,6.384,6.634,1563888.75,1481318.22,1504576.94
2018-10-25,6.08,6.22,6.2,6.04,1151529.75,0.01,0.16,6.282,6.364,6.597,1511666.6,1406833.7,1496222.68
2018-10-26,6.23,6.32,6.26,6.2,1327576.62,0.06,0.97,6.272,6.338,6.566,1503512.47,1404959.91,1521338.55
2018-10-29,6.32,6.39,6.23,6.2,1362552.12,-0.03,-0.48,6.226,6.313,6.53,1333741.85,1453321.9,1526503.64
2018-10-30,6.27,6.37,6.31,6.21,985819.19,0.08,1.28,6.238,6.289,6.501,1291041.04,1438167.98,1521335.2
2018-10-31,6.35,6.36,6.31,6.23,1147085.88,0.0,0.0,6.262,6.273,6.463,1194912.71,1379400.73,1465442.93
2018-11-01,6.3,6.32,6.26,6.22,1281785.5,-0.05,-0.79,6.274,6.278,6.424,1220963.86,1366315.23,1468843.8
2018-11-02,6.28,6.32,6.32,6.22,1779900.25,0.06,0.96,6.286,6.279,6.384,1311428.59,1407470.53,1507303.43
2018-11-05,6.28,6.33,6.32,6.23,1019348.69,0.0,0.0,6.304,6.265,6.369,1242787.9,1288264.88,1395841.91
2018-11-06,6.3,6.37,6.35,6.27,1020577.5,0.03,0.47,6.312,6.275,6.354,1249739.56,1270390.3,1347031.29
2018-11-07,6.31,6.32,6.24,6.22,900768.5,-0.11,-1.73,6.298,6.28,6.332,1200476.09,1197694.4,1339506.31
2018-11-08,6.29,6.31,6.25,6.24,699484.69,0.01,0.16,6.296,6.285,6.325,1084015.93,1152489.89,1279661.79
2018-11-09,6.23,6.24,6.14,6.12,824140.06,-0.11,-1.76,6.26,6.273,6.306,892863.89,1102146.24,1253553.07
2018-11-12,6.13,6.19,6.18,6.1,873244.19,0.04,0.65,6.232,6.268,6.291,863642.99,1053215.45,1253268.67
2018-11-13,6.1,6.2,6.18,6.1,957360.75,0.0,0.0,6.198,6.255,6.272,850999.64,1050369.6,1244268.79
2018-11-14,6.08,6.08,5.97,5.93,2178299.75,-0.21,-3.4,6.144,6.221,6.247,1106505.89,1153490.99,1266445.86
2018-11-15,5.98,6.01,6.0,5.96,1083209.38,0.03,0.5,6.094,6.195,6.237,1183250.83,1133633.38,1249974.3
2018-11-16,6.01,6.08,6.05,6.0,1347213.75,0.05,0.83,6.076,6.168,6.224,1287865.56,1090364.73,1248917.63
2018-11-19,6.07,6.14,6.13,6.05,858174.12,0.08,1.32,6.066,6.149,6.207,1284851.55,1074247.27,1181256.07
2018-11-20,6.1,6.12,6.06,6.01,860251.62,-0.07,-1.14,6.042,6.12,6.198,1265429.72,1058214.68,1164302.49
2018-11-21,5.95,5.96,5.95,5.86,1472814.62,-0.11,-1.81,6.038,6.091,6.186,1124332.7,1115419.29,1156556.85
2018-11-22,5.96,5.96,5.91,5.89,859308.62,-0.04,-0.67,6.02,6.057,6.171,1079552.55,1131401.69,1141945.79
2018-11-23,5.88,5.89,5.84,5.83,802159.88,-0.07,-1.18,5.978,6.027,6.15,970541.77,1129203.67,1115674.95
2018-11-26,5.75,5.83,5.79,5.71,767865.75,-0.05,-0.86,5.91,5.988,6.128,952480.1,1118665.82,1085940.63
2018-11-27,5.82,5.85,5.81,5.79,530919.81,0.02,0.34,5.86,5.951,6.103,886613.74,1076021.73,1063195.67
2018-11-28,5.82,5.89,5.87,5.8,553735.44,0.06,1.03,5.844,5.941,6.081,702797.9,913565.3,1033528.14
2018-11-29,5.87,5.9,5.83,5.82,504628.19,-0.04,-0.68,5.828,5.924,6.06,631861.81,855707.18,994670.28
2018-11-30,5.86,5.92,5.9,5.85,698073.62,0.07,1.2,5.84,5.909,6.039,611044.56,790793.17,940578.95
2018-12-03,6.0,6.08,6.06,5.98,1606440.0,0.16,2.71,5.894,5.902,6.026,778759.41,865619.76,969933.51
2018-12-04,6.06,6.08,6.02,5.97,911269.81,-0.04,-0.66,5.936,5.898,6.009,854829.41,870721.57,964468.13
2018-12-05,5.96,6.01,5.97,5.94,568682.81,-0.05,-0.83,5.956,5.9,5.996,857818.89,780308.39,947863.84
2018-12-06,5.93,5.94,5.87,5.84,923740.0,-0.1,-1.68,5.964,5.896,5.977,941641.25,786751.53,959076.61
2018-12-07,5.86,5.89,5.86,5.84,390920.19,-0.01,-0.17,5.956,5.898,5.963,880210.56,745627.56,937415.62
2018-12-10,5.88,5.94,5.92,5.87,860018.75,0.06,1.02,5.928,5.911,5.95,730926.31,754842.86,936754.34
2018-12-11,5.88,5.89,5.85,5.83,620326.25,-0.07,-1.18,5.894,5.915,5.933,672737.6,763783.51,919902.62
2018-12-12,5.89,5.89,5.86,5.84,485712.38,0.01,0.17,5.872,5.914,5.928,656143.51,756981.2,835273.25
2018-12-13,5.85,5.95,5.93,5.85,759550.25,0.07,1.2,5.884,5.924,5.924,623305.56,782473.41,819090.29
2018-12-14,5.94,5.99,5.89,5.89,1124985.75,-0.04,-0.68,5.89,5.923,5.916,770118.68,825164.62,807978.89
2018-12-17,5.88,5.98,5.97,5.88,624336.38,0.08,1.36,5.9,5.914,5.908,722982.2,726954.26,796287.01
2018-12-18,5.92,5.94,5.81,5.81,826903.38,-0.16,-2.68,5.892,5.893,5.896,764297.63,718517.61,794619.59
